target,precision,recall,f1-score,TP,FP,FN,TN,Selected_features,Lags,Dataset,File_name,Execution_time,FS_size
C,0.3333333333333333,1.0,0.5,1,2,0,4,4,5,SynthNonlin/7ts2h,data_9.csv,0.0,3
H,0.6666666666666666,1.0,0.8,2,1,0,4,4,5,SynthNonlin/7ts2h,data_9.csv,0.0,3
D,0.5,1.0,0.6666666666666666,2,2,0,3,4,5,SynthNonlin/7ts2h,data_9.csv,0.0,4
A,0.3333333333333333,0.5,0.4,1,2,1,3,4,5,SynthNonlin/7ts2h,data_9.csv,0.0,3
E,0.25,0.5,0.3333333333333333,1,3,1,2,5,5,SynthNonlin/7ts2h,data_9.csv,0.0,4
B,0.3333333333333333,0.5,0.4,1,2,1,3,5,5,SynthNonlin/7ts2h,data_9.csv,0.0,3
F,0.6666666666666666,1.0,0.8,2,1,0,4,5,5,SynthNonlin/7ts2h,data_9.csv,0.0,3
C,0.3333333333333333,1.0,0.5,1,2,0,4,5,5,SynthNonlin/7ts2h,data_9.csv,0.0,3
H,0.6666666666666666,1.0,0.8,2,1,0,4,5,5,SynthNonlin/7ts2h,data_9.csv,0.0,3
D,0.5,1.0,0.6666666666666666,2,2,0,3,5,5,SynthNonlin/7ts2h,data_9.csv,0.0009970664978027344,4
A,0.3333333333333333,0.5,0.4,1,2,1,3,5,5,SynthNonlin/7ts2h,data_9.csv,0.0,3
E,0.25,0.5,0.3333333333333333,1,3,1,2,6,5,SynthNonlin/7ts2h,data_9.csv,0.0,4
B,0.3333333333333333,0.5,0.4,1,2,1,3,6,5,SynthNonlin/7ts2h,data_9.csv,0.0,3
F,0.6666666666666666,1.0,0.8,2,1,0,4,6,5,SynthNonlin/7ts2h,data_9.csv,0.0,3
C,0.25,1.0,0.4,1,3,0,3,6,5,SynthNonlin/7ts2h,data_9.csv,0.0009980201721191406,4
H,0.6666666666666666,1.0,0.8,2,1,0,4,6,5,SynthNonlin/7ts2h,data_9.csv,0.0,3
D,0.5,1.0,0.6666666666666666,2,2,0,3,6,5,SynthNonlin/7ts2h,data_9.csv,0.0,4
A,0.3333333333333333,0.5,0.4,1,2,1,3,6,5,SynthNonlin/7ts2h,data_9.csv,0.0,3
E,0.25,0.5,0.3333333333333333,1,3,1,2,7,5,SynthNonlin/7ts2h,data_9.csv,0.0,4
B,0.3333333333333333,0.5,0.4,1,2,1,3,7,5,SynthNonlin/7ts2h,data_9.csv,0.0009970664978027344,3
F,0.5,1.0,0.6666666666666666,2,2,0,3,7,5,SynthNonlin/7ts2h,data_9.csv,0.0,4
C,0.2,1.0,0.33333333333333337,1,4,0,2,7,5,SynthNonlin/7ts2h,data_9.csv,0.0,5
H,0.5,1.0,0.6666666666666666,2,2,0,3,7,5,SynthNonlin/7ts2h,data_9.csv,0.0,4
D,0.5,1.0,0.6666666666666666,2,2,0,3,7,5,SynthNonlin/7ts2h,data_9.csv,0.0,4
A,0.25,0.5,0.3333333333333333,1,3,1,2,7,5,SynthNonlin/7ts2h,data_9.csv,0.0,4
E,0.4,1.0,0.5714285714285715,2,3,0,2,8,5,SynthNonlin/7ts2h,data_9.csv,0.000997304916381836,5
B,0.25,0.5,0.3333333333333333,1,3,1,2,8,5,SynthNonlin/7ts2h,data_9.csv,0.0,4
F,0.5,1.0,0.6666666666666666,2,2,0,3,8,5,SynthNonlin/7ts2h,data_9.csv,0.0,4
C,0.2,1.0,0.33333333333333337,1,4,0,2,8,5,SynthNonlin/7ts2h,data_9.csv,0.0,5
H,0.5,1.0,0.6666666666666666,2,2,0,3,8,5,SynthNonlin/7ts2h,data_9.csv,0.0,4
D,0.5,1.0,0.6666666666666666,2,2,0,3,8,5,SynthNonlin/7ts2h,data_9.csv,0.000997304916381836,4
A,0.25,0.5,0.3333333333333333,1,3,1,2,8,5,SynthNonlin/7ts2h,data_9.csv,0.0,4
E,0.4,1.0,0.5714285714285715,2,3,0,2,9,5,SynthNonlin/7ts2h,data_9.csv,0.0,5
B,0.25,0.5,0.3333333333333333,1,3,1,2,9,5,SynthNonlin/7ts2h,data_9.csv,0.0,4
F,0.4,1.0,0.5714285714285715,2,3,0,2,9,5,SynthNonlin/7ts2h,data_9.csv,0.0,5
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,9,5,SynthNonlin/7ts2h,data_9.csv,0.000997304916381836,6
H,0.4,1.0,0.5714285714285715,2,3,0,2,9,5,SynthNonlin/7ts2h,data_9.csv,0.0,5
D,0.5,1.0,0.6666666666666666,2,2,0,3,9,5,SynthNonlin/7ts2h,data_9.csv,0.0,4
A,0.25,0.5,0.3333333333333333,1,3,1,2,9,5,SynthNonlin/7ts2h,data_9.csv,0.0,4
E,0.4,1.0,0.5714285714285715,2,3,0,2,10,5,SynthNonlin/7ts2h,data_9.csv,0.0,5
B,0.2,0.5,0.28571428571428575,1,4,1,1,10,5,SynthNonlin/7ts2h,data_9.csv,0.0009975433349609375,5
F,0.4,1.0,0.5714285714285715,2,3,0,2,10,5,SynthNonlin/7ts2h,data_9.csv,0.0,5
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,10,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
H,0.3333333333333333,1.0,0.5,2,4,0,1,10,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
D,0.5,1.0,0.6666666666666666,2,2,0,3,10,5,SynthNonlin/7ts2h,data_9.csv,0.0,4
A,0.25,0.5,0.3333333333333333,1,3,1,2,10,5,SynthNonlin/7ts2h,data_9.csv,0.0,4
E,0.4,1.0,0.5714285714285715,2,3,0,2,11,5,SynthNonlin/7ts2h,data_9.csv,0.000997304916381836,5
B,0.2,0.5,0.28571428571428575,1,4,1,1,11,5,SynthNonlin/7ts2h,data_9.csv,0.0,5
F,0.4,1.0,0.5714285714285715,2,3,0,2,11,5,SynthNonlin/7ts2h,data_9.csv,0.0,5
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,11,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
H,0.3333333333333333,1.0,0.5,2,4,0,1,11,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
D,0.4,1.0,0.5714285714285715,2,3,0,2,11,5,SynthNonlin/7ts2h,data_9.csv,0.000997304916381836,5
A,0.2,0.5,0.28571428571428575,1,4,1,1,11,5,SynthNonlin/7ts2h,data_9.csv,0.0,5
E,0.4,1.0,0.5714285714285715,2,3,0,2,12,5,SynthNonlin/7ts2h,data_9.csv,0.0,5
B,0.2,0.5,0.28571428571428575,1,4,1,1,12,5,SynthNonlin/7ts2h,data_9.csv,0.0,5
F,0.4,1.0,0.5714285714285715,2,3,0,2,12,5,SynthNonlin/7ts2h,data_9.csv,0.0,5
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,12,5,SynthNonlin/7ts2h,data_9.csv,0.0009970664978027344,6
H,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,12,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
D,0.4,1.0,0.5714285714285715,2,3,0,2,12,5,SynthNonlin/7ts2h,data_9.csv,0.0,5
A,0.2,0.5,0.28571428571428575,1,4,1,1,12,5,SynthNonlin/7ts2h,data_9.csv,0.0,5
E,0.4,1.0,0.5714285714285715,2,3,0,2,13,5,SynthNonlin/7ts2h,data_9.csv,0.0,5
B,0.2,0.5,0.28571428571428575,1,4,1,1,13,5,SynthNonlin/7ts2h,data_9.csv,0.0009975433349609375,5
F,0.3333333333333333,1.0,0.5,2,4,0,1,13,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,13,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
H,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,13,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
D,0.4,1.0,0.5714285714285715,2,3,0,2,13,5,SynthNonlin/7ts2h,data_9.csv,0.0,5
A,0.16666666666666666,0.5,0.25,1,5,1,0,13,5,SynthNonlin/7ts2h,data_9.csv,0.0009975433349609375,6
E,0.4,1.0,0.5714285714285715,2,3,0,2,14,5,SynthNonlin/7ts2h,data_9.csv,0.0,5
B,0.2,0.5,0.28571428571428575,1,4,1,1,14,5,SynthNonlin/7ts2h,data_9.csv,0.0,5
F,0.3333333333333333,1.0,0.5,2,4,0,1,14,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,14,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
H,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,14,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
D,0.4,1.0,0.5714285714285715,2,3,0,2,14,5,SynthNonlin/7ts2h,data_9.csv,0.0009970664978027344,5
A,0.16666666666666666,0.5,0.25,1,5,1,0,14,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
E,0.3333333333333333,1.0,0.5,2,4,0,1,15,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
B,0.2,0.5,0.28571428571428575,1,4,1,1,15,5,SynthNonlin/7ts2h,data_9.csv,0.0,5
F,0.3333333333333333,1.0,0.5,2,4,0,1,15,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,15,5,SynthNonlin/7ts2h,data_9.csv,0.000997304916381836,6
H,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,15,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
D,0.3333333333333333,1.0,0.5,2,4,0,1,15,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
A,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,15,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
E,0.3333333333333333,1.0,0.5,2,4,0,1,16,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
B,0.2,0.5,0.28571428571428575,1,4,1,1,16,5,SynthNonlin/7ts2h,data_9.csv,0.0009975433349609375,5
F,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,16,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,16,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
H,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,16,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
D,0.3333333333333333,1.0,0.5,2,4,0,1,16,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
A,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,16,5,SynthNonlin/7ts2h,data_9.csv,0.000997304916381836,7
E,0.3333333333333333,1.0,0.5,2,4,0,1,17,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
B,0.2,0.5,0.28571428571428575,1,4,1,1,17,5,SynthNonlin/7ts2h,data_9.csv,0.0,5
F,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,17,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,17,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
H,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,17,5,SynthNonlin/7ts2h,data_9.csv,0.000997304916381836,7
D,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,17,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
A,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,17,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
E,0.3333333333333333,1.0,0.5,2,4,0,1,18,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
B,0.16666666666666666,0.5,0.25,1,5,1,0,18,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
F,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,18,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,18,5,SynthNonlin/7ts2h,data_9.csv,0.0009970664978027344,6
H,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,18,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
D,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,18,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
A,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,18,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
E,0.3333333333333333,1.0,0.5,2,4,0,1,19,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
B,0.16666666666666666,0.5,0.25,1,5,1,0,19,5,SynthNonlin/7ts2h,data_9.csv,0.000997304916381836,6
F,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,19,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,19,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
H,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,19,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
D,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,19,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
A,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,19,5,SynthNonlin/7ts2h,data_9.csv,0.0009975433349609375,7
E,0.3333333333333333,1.0,0.5,2,4,0,1,20,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
B,0.16666666666666666,0.5,0.25,1,5,1,0,20,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
F,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,20,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,20,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
H,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,20,5,SynthNonlin/7ts2h,data_9.csv,0.000997304916381836,7
D,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,20,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
A,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,20,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
E,0.3333333333333333,1.0,0.5,2,4,0,1,21,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
B,0.16666666666666666,0.5,0.25,1,5,1,0,21,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
F,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,21,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,21,5,SynthNonlin/7ts2h,data_9.csv,0.0009975433349609375,6
H,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,21,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
D,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,21,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
A,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,21,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
E,0.3333333333333333,1.0,0.5,2,4,0,1,22,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
B,0.16666666666666666,0.5,0.25,1,5,1,0,22,5,SynthNonlin/7ts2h,data_9.csv,0.000997304916381836,6
F,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,22,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,22,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
H,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,22,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
D,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,22,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
A,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,22,5,SynthNonlin/7ts2h,data_9.csv,0.0009970664978027344,7
E,0.3333333333333333,1.0,0.5,2,4,0,1,23,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
B,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,23,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
F,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,23,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,23,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
H,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,23,5,SynthNonlin/7ts2h,data_9.csv,0.000997304916381836,7
D,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,23,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
A,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,23,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
E,0.3333333333333333,1.0,0.5,2,4,0,1,24,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
B,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,24,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
F,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,24,5,SynthNonlin/7ts2h,data_9.csv,0.0009975433349609375,7
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,24,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
H,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,24,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
D,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,24,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
A,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,24,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
E,0.3333333333333333,1.0,0.5,2,4,0,1,25,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
B,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,25,5,SynthNonlin/7ts2h,data_9.csv,0.000997304916381836,7
F,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,25,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,25,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
H,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,25,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
D,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,25,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
A,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,25,5,SynthNonlin/7ts2h,data_9.csv,0.0009968280792236328,7
E,0.3333333333333333,1.0,0.5,2,4,0,1,26,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
B,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,26,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
F,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,26,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,26,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
H,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,26,5,SynthNonlin/7ts2h,data_9.csv,0.000997781753540039,7
D,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,26,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
A,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,26,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
E,0.3333333333333333,1.0,0.5,2,4,0,1,27,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
B,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,27,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
F,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,27,5,SynthNonlin/7ts2h,data_9.csv,0.000997304916381836,7
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,27,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
H,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,27,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
D,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,27,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
A,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,27,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
E,0.3333333333333333,1.0,0.5,2,4,0,1,28,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
B,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,28,5,SynthNonlin/7ts2h,data_9.csv,0.000997304916381836,7
F,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,28,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,28,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
H,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,28,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
D,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,28,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
A,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,28,5,SynthNonlin/7ts2h,data_9.csv,0.0009970664978027344,7
E,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,29,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
B,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,29,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
F,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,29,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,29,5,SynthNonlin/7ts2h,data_9.csv,0.0,6
H,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,29,5,SynthNonlin/7ts2h,data_9.csv,0.000997304916381836,7
D,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,29,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
A,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,29,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
E,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,30,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
B,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,30,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
F,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,30,5,SynthNonlin/7ts2h,data_9.csv,0.000997781753540039,7
C,0.14285714285714285,1.0,0.25,1,6,0,0,30,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
H,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,30,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
D,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,30,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
A,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,30,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
E,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,31,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
B,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,31,5,SynthNonlin/7ts2h,data_9.csv,0.0009970664978027344,7
F,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,31,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
C,0.14285714285714285,1.0,0.25,1,6,0,0,31,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
H,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,31,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
D,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,31,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
A,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,31,5,SynthNonlin/7ts2h,data_9.csv,0.0009975433349609375,7
E,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,32,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
B,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,32,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
F,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,32,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
C,0.14285714285714285,1.0,0.25,1,6,0,0,32,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
H,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,32,5,SynthNonlin/7ts2h,data_9.csv,0.0009970664978027344,7
D,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,32,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
A,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,32,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
E,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,33,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
B,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,33,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
F,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,33,5,SynthNonlin/7ts2h,data_9.csv,0.0009975433349609375,7
C,0.14285714285714285,1.0,0.25,1,6,0,0,33,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
H,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,33,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
D,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,33,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
A,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,33,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
E,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,34,5,SynthNonlin/7ts2h,data_9.csv,0.000997304916381836,7
B,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,34,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
F,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,34,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
C,0.14285714285714285,1.0,0.25,1,6,0,0,34,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
H,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,34,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
D,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,34,5,SynthNonlin/7ts2h,data_9.csv,0.0,7
A,0.2857142857142857,1.0,0.4444444444444445,2,5,0,0,34,5,SynthNonlin/7ts2h,data_9.csv,0.0009975433349609375,7
E,1.0,0.5,0.6666666666666666,1,0,1,5,1,10,SynthNonlin/7ts2h,data_9.csv,0.0,1
B,1.0,0.5,0.6666666666666666,1,0,1,5,1,10,SynthNonlin/7ts2h,data_9.csv,0.0,1
F,1.0,0.5,0.6666666666666666,1,0,1,5,1,10,SynthNonlin/7ts2h,data_9.csv,0.0009970664978027344,1
C,0.0,0.0,,0,1,1,5,1,10,SynthNonlin/7ts2h,data_9.csv,0.0,1
H,1.0,0.5,0.6666666666666666,1,0,1,5,1,10,SynthNonlin/7ts2h,data_9.csv,0.0,1
D,0.0,0.0,,0,1,2,4,1,10,SynthNonlin/7ts2h,data_9.csv,0.0009970664978027344,1
A,1.0,0.5,0.6666666666666666,1,0,1,5,1,10,SynthNonlin/7ts2h,data_9.csv,0.0,1
E,1.0,0.5,0.6666666666666666,1,0,1,5,2,10,SynthNonlin/7ts2h,data_9.csv,0.0,1
B,1.0,0.5,0.6666666666666666,1,0,1,5,2,10,SynthNonlin/7ts2h,data_9.csv,0.000997781753540039,1
F,0.5,0.5,0.5,1,1,1,4,2,10,SynthNonlin/7ts2h,data_9.csv,0.0,2
C,0.0,0.0,,0,2,1,4,2,10,SynthNonlin/7ts2h,data_9.csv,0.0,2
H,1.0,0.5,0.6666666666666666,1,0,1,5,2,10,SynthNonlin/7ts2h,data_9.csv,0.0009970664978027344,1
